################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:08:19 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
121,TOP.OB.\RESULT_349_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
122,TOP.OB.\RESULT_349_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
123,TOP.OB.\RESULT_349_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
124,TOP.OB.\RESULT_349_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
125,TOP.OB.\RESULT_349_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
126,TOP.OB.\RESULT_349_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
127,TOP.OB.\RESULT_349_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
128,TOP.OB.\RESULT_349_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
129,TOP.OB.\RESULT_349_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
130,TOP.OB.\RESULT_349_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
131,TOP.OB.\RESULT_541_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
132,TOP.OB.\RESULT_541_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
133,TOP.OB.\RESULT_541_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
134,TOP.OB.\RESULT_541_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
135,TOP.OB.\RESULT_541_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
136,TOP.OB.\RESULT_541_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
137,TOP.OB.\RESULT_541_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
138,TOP.OB.\RESULT_541_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
139,TOP.OB.\RESULT_541_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
140,TOP.OB.\RESULT_541_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
141,TOP.OB.\RESULT_541_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
142,TOP.OB.\RESULT_541_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
143,TOP.OB.\RESULT_541_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
144,TOP.OB.\RESULT_541_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
145,TOP.OB.\RESULT_541_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
146,TOP.OB.\RESULT_541_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
147,TOP.OB.\RESULT_701_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
148,TOP.OB.\RESULT_701_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
149,TOP.OB.\RESULT_701_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
150,TOP.OB.\RESULT_701_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
151,TOP.OB.\RESULT_701_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
152,TOP.OB.\RESULT_701_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
153,TOP.OB.\RESULT_701_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
154,TOP.OB.\RESULT_701_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
155,TOP.OB.\RESULT_701_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
156,TOP.OB.\RESULT_701_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
157,TOP.OB.\RESULT_701_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
158,TOP.OB.\RESULT_701_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
159,TOP.OB.\RESULT_701_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
160,TOP.OB.\RESULT_701_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
161,TOP.OB.\RESULT_701_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
162,TOP.OB.\RESULT_701_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
163,TOP.OB.\RESULT_92_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
164,TOP.OB.\RESULT_92_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
165,TOP.OB.\RESULT_92_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
166,TOP.OB.\RESULT_92_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
167,TOP.OB.\RESULT_92_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
168,TOP.OB.\RESULT_92_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
169,TOP.OB.\RESULT_92_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
170,TOP.OB.\RESULT_92_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
171,TOP.OB.\RESULT_92_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
172,TOP.OB.\RESULT_92_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
173,TOP.OB.\RESULT_92_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
174,TOP.OB.\RESULT_92_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
175,TOP.OB.\RESULT_92_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
176,TOP.OB.\RESULT_92_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
177,TOP.OB.\RESULT_92_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
178,TOP.OB.\RESULT_92_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
179,TOP.OB.\RESULT_316_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
180,TOP.OB.\RESULT_316_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
181,TOP.OB.\RESULT_316_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
